max_demand_kW,reactive_usage_kWh_kVarh_inductive,reactive_usage_kWh_kVarh_capacitive,CO2_tCO2,usage_kWh_factor_inductive,usage_kWh_factor_capacitive,usage_kWh
-1.0654021496051216,-0.9320901993824413,0.0,0.0,0.02796092272701422,0.0,-1.00014030890259
-1.1307186459150425,-0.9044190271461467,0.0,0.0,-0.6444172952789291,0.0,-1.0374090635810242
-1.0974440580587603,-0.9320901993824413,0.0,0.0,-0.13605771930536958,0.0,-1.0186290992444604
-1.1653245655068738,-0.9320901993824413,0.0,0.0,-0.5650574566866101,0.0,-1.0564895200671789
-1.0974440580587603,-0.9044190271461467,0.0,0.0,-0.420029709164757,0.0,-1.0186290992444604
-1.1307186459150425,-0.9602344059538922,0.0,0.0,-0.030045630263158454,0.0,-1.0374090635810242
-0.6888378159659428,-0.9044190271461467,0.0,0.0,0.892332732225193,0.0,-0.7525297249355605
0.268255757076544,0.18096033411537757,0.0,0.0,0.14380309692876608,0.0,0.11795120593053195
0.17599278357554776,0.03253592933274932,0.0,0.0,0.23478836034216838,0.0,0.020702737640419126
0.6701837122010647,0.2639894894092365,0.0,0.0,0.7797619971434128,0.0,0.5674651712844095
1.4163171316883476,1.509752446109859,0.0,0.0,0.5707454632637927,0.0,1.4841779062619174
1.343723434317443,1.4777825873787935,0.0,0.0,0.47756932385307554,0.0,1.3915789273022852
1.5485139711530176,1.458298383739067,0.0,0.0,0.8053095986933577,0.0,1.6542167517514492
1.3946223864746758,1.3984228401308738,0.0,0.0,0.6490241885319532,0.0,1.4564440262826315
1.1958558165521467,1.3007266242881026,0.0,0.0,0.4120294741937166,0.0,1.204869838732277
1.093249447727418,1.1344353436705354,0.0,0.0,0.42536764584278247,0.0,1.07697921246751
1.0880462282834489,1.0612501399282885,0.0,0.0,0.5087397291035073,0.0,1.0705332341272866
0.6400551525747022,0.2774295313285246,0.0,0.0,0.7238419920599594,0.0,0.5324625677804545
-0.06416772615733399,-0.45149007264958835,0.0,0.0,0.7468037784040207,0.0,-0.22033097631776055
-0.22683904150302975,-0.6743155253594844,0.0,0.0,0.9337229718504801,0.0,-0.3727726667642789
-0.22683904150302975,-0.6983509302172047,0.0,0.0,0.9740226148758979,0.0,-0.3727726667642789
-0.18038317462448789,-0.6272724394843381,0.0,0.0,0.905851330664109,0.0,-0.33017874291593313
0.06422042038708506,-0.21867049217348603,0.0,0.0,0.5200466210974,0.0,-0.09373461482727218
0.08109964128479974,-0.16526918416802938,0.0,0.0,0.44438655688695544,0.0,-0.0766985666754513
0.42203404500312586,0.4184523119915102,0.0,0.0,0.043894488300095964,0.0,0.2852422646512537
0.7195100972747352,0.9671447564624596,0.0,0.0,-0.24852990761157007,0.0,0.6251781957756236
0.7074396787634406,0.9759255559012402,0.0,0.0,-0.3084277676137434,0.0,0.6110096755651877
0.7074396787634406,0.9671447564624596,0.0,0.0,-0.2887603210569024,0.0,0.6110096755651877
0.8959977671018187,1.2790155932893477,0.0,0.0,-0.3447747922129381,0.0,0.8355339978813231
0.988602966358732,1.4648187724286996,0.0,0.0,-0.43158488170649373,0.0,0.948117838276866
0.9057173370481232,1.3362873153961103,0.0,0.0,-0.4378942175721394,0.0,0.8472828918267259
0.7074396787634406,1.08600844095226,0.0,0.0,-0.5703967247909498,0.0,0.6110096755651877
0.7623808468015029,1.0191405301130207,0.0,0.0,-0.2238654428158675,0.0,0.6757350308189617
1.2163443891183907,1.3362873153961103,0.0,0.0,0.406306810569729,0.0,1.230577487713359
1.2208322467822181,1.3779704529923926,0.0,0.0,0.36038864400992743,0.0,1.2362158106963685
1.202739401611731,1.3292363581858702,0.0,0.0,0.38816001603906575,0.0,1.2135007793474302
1.5061173177735174,1.3150432013887117,0.0,0.0,0.8625172107177932,0.0,1.5994958801096428
1.3019551254363486,1.0529139398798,0.0,0.0,0.8298735059322224,0.0,1.3385700631098767
0.931114614464817,0.01693016327502627,0.0,0.0,1.1613921922222088,0.0,0.8780588731734792
1.0059911422608607,0.4787666020359274,0.0,0.0,0.9552394853980529,0.0,0.9694131021946579
1.158188581597383,0.8766606696475784,0.0,0.0,0.8053095986933577,0.0,1.1577524767817706
1.0059911422608607,0.8766606696475784,0.0,0.0,0.5875792344861478,0.0,0.9694131021946579
